Year,Team,Historical_Team,Previous_WC_Editions,Previous_WC_Matches,Final_Stage,Progression_Score,Matches_Played,Wins,Win_Percentage
1982,Algeria,Algeria,0,0,First group stage,0.0,3,2,66.66666666666666
1986,Algeria,Algeria,1,3,Group stage,0.0,3,0,0.0
2010,Algeria,Algeria,2,6,Group stage,0.0,3,0,0.0
2014,Algeria,Algeria,3,9,Round of 16,1.33,4,1,25.0
2006,Angola,Angola,0,0,Group stage,0.0,3,0,0.0
1930,Argentina,Argentina,0,0,Runner-up,5.0,5,4,80.0
1934,Argentina,Argentina,1,5,Round of 16,0.0,1,0,0.0
1958,Argentina,Argentina,2,6,Group stage,0.0,3,1,33.33333333333333
1962,Argentina,Argentina,3,9,Group stage,0.0,3,1,33.33333333333333
1966,Argentina,Argentina,4,12,Quarter-finals,2.0,4,2,50.0
1974,Argentina,Argentina,5,16,Second round,4.0,6,1,16.666666666666664
1978,Argentina,Argentina,6,22,Champion,6.0,7,5,71.42857142857143
1982,Argentina,Argentina,7,29,Second group stage,2.0,5,2,40.0
1986,Argentina,Argentina,8,34,Champion,6.0,7,6,85.71428571428571
1990,Argentina,Argentina,9,41,Runner-up,5.0,7,2,28.57142857142857
1994,Argentina,Argentina,10,48,Round of 16,1.33,4,2,50.0
1998,Argentina,Argentina,11,52,Quarter-finals,2.67,5,3,60.0
2002,Argentina,Argentina,12,57,Group stage,0.0,3,1,33.33333333333333
2006,Argentina,Argentina,13,60,Quarter-finals,2.67,5,3,60.0
2010,Argentina,Argentina,14,65,Quarter-finals,2.67,5,4,80.0
2014,Argentina,Argentina,15,70,Runner-up,5.0,7,5,71.42857142857143
2018,Argentina,Argentina,16,77,Round of 16,1.33,4,1,25.0
2022,Argentina,Argentina,17,81,Champion,6.0,7,4,57.14285714285714
1974,Australia,Australia,0,0,First round,0.0,3,0,0.0
2006,Australia,Australia,1,3,Round of 16,1.33,4,1,25.0
2010,Australia,Australia,2,7,Group stage,0.0,3,1,33.33333333333333
2014,Australia,Australia,3,10,Group stage,0.0,3,0,0.0
2018,Australia,Australia,4,13,Group stage,0.0,3,0,0.0
2022,Australia,Australia,5,16,Round of 16,1.33,4,2,50.0
1934,Austria,Austria,0,0,Semi-finals,4.0,4,2,50.0
1954,Austria,Austria,1,4,Semi-finals,4.0,5,4,80.0
1958,Austria,Austria,2,9,Group stage,0.0,3,0,0.0
1978,Austria,Austria,3,12,Second round,4.0,6,3,50.0
1982,Austria,Austria,4,18,Second group stage,2.0,5,2,40.0
1990,Austria,Austria,5,23,Group stage,0.0,3,1,33.33333333333333
1998,Austria,Austria,6,26,Group stage,0.0,3,0,0.0
1930,Belgium,Belgium,0,0,Group stage,0.0,2,0,0.0
1934,Belgium,Belgium,1,2,Round of 16,0.0,1,0,0.0
1938,Belgium,Belgium,2,3,Round of 16,0.0,1,0,0.0
1954,Belgium,Belgium,3,4,Group stage,0.0,2,0,0.0
1970,Belgium,Belgium,4,6,Group stage,0.0,3,1,33.33333333333333
1982,Belgium,Belgium,5,9,Second group stage,2.0,5,2,40.0
1986,Belgium,Belgium,6,14,Semi-finals,4.0,7,2,28.57142857142857
1990,Belgium,Belgium,7,21,Round of 16,1.33,4,2,50.0
1994,Belgium,Belgium,8,25,Round of 16,1.33,4,2,50.0
1998,Belgium,Belgium,9,29,Group stage,0.0,3,0,0.0
2002,Belgium,Belgium,10,32,Round of 16,1.33,4,1,25.0
2014,Belgium,Belgium,11,36,Quarter-finals,2.67,5,4,80.0
2018,Belgium,Belgium,12,41,Semi-finals,4.0,7,6,85.71428571428571
2022,Belgium,Belgium,13,48,Group stage,0.0,3,1,33.33333333333333
1930,Bolivia,Bolivia,0,0,Group stage,0.0,2,0,0.0
1950,Bolivia,Bolivia,1,2,Group stage,0.0,1,0,0.0
1994,Bolivia,Bolivia,2,3,Group stage,0.0,3,0,0.0
2014,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,Group stage,0.0,3,1,33.33333333333333
1930,Brazil,Brazil,0,0,Group stage,0.0,2,1,50.0
1934,Brazil,Brazil,1,2,Round of 16,0.0,1,0,0.0
1938,Brazil,Brazil,2,3,Semi-finals,4.0,5,3,60.0
1950,Brazil,Brazil,3,8,Final stage,4.0,6,4,66.66666666666666
1954,Brazil,Brazil,4,14,Quarter-finals,2.67,3,1,33.33333333333333
1958,Brazil,Brazil,5,17,Champion,6.0,6,5,83.33333333333334
1962,Brazil,Brazil,6,23,Champion,6.0,6,5,83.33333333333334
1966,Brazil,Brazil,7,29,Group stage,0.0,3,1,33.33333333333333
1970,Brazil,Brazil,8,32,Champion,6.0,6,6,100.0
1974,Brazil,Brazil,9,38,Second round,4.0,7,3,42.857142857142854
1978,Brazil,Brazil,10,45,Second round,4.0,7,4,57.14285714285714
1982,Brazil,Brazil,11,52,Second group stage,2.0,5,4,80.0
1986,Brazil,Brazil,12,57,Quarter-finals,2.67,5,4,80.0
1990,Brazil,Brazil,13,62,Round of 16,1.33,4,3,75.0
1994,Brazil,Brazil,14,66,Champion,6.0,7,5,71.42857142857143
1998,Brazil,Brazil,15,73,Runner-up,5.0,7,4,57.14285714285714
2002,Brazil,Brazil,16,80,Champion,6.0,7,7,100.0
2006,Brazil,Brazil,17,87,Quarter-finals,2.67,5,4,80.0
2010,Brazil,Brazil,18,92,Quarter-finals,2.67,5,3,60.0
2014,Brazil,Brazil,19,97,Semi-finals,4.0,7,3,42.857142857142854
2018,Brazil,Brazil,20,104,Quarter-finals,2.67,5,3,60.0
2022,Brazil,Brazil,21,109,Quarter-finals,2.67,5,3,60.0
1962,Bulgaria,Bulgaria,0,0,Group stage,0.0,3,0,0.0
1966,Bulgaria,Bulgaria,1,3,Group stage,0.0,3,0,0.0
1970,Bulgaria,Bulgaria,2,6,Group stage,0.0,3,0,0.0
1974,Bulgaria,Bulgaria,3,9,First round,0.0,3,0,0.0
1986,Bulgaria,Bulgaria,4,12,Round of 16,1.33,4,0,0.0
1994,Bulgaria,Bulgaria,5,16,Semi-finals,4.0,7,3,42.857142857142854
1998,Bulgaria,Bulgaria,6,23,Group stage,0.0,3,0,0.0
1982,Cameroon,Cameroon,0,0,First group stage,0.0,3,0,0.0
1990,Cameroon,Cameroon,1,3,Quarter-finals,2.67,5,3,60.0
1994,Cameroon,Cameroon,2,8,Group stage,0.0,3,0,0.0
1998,Cameroon,Cameroon,3,11,Group stage,0.0,3,0,0.0
2002,Cameroon,Cameroon,4,14,Group stage,0.0,3,1,33.33333333333333
2010,Cameroon,Cameroon,5,17,Group stage,0.0,3,0,0.0
2014,Cameroon,Cameroon,6,20,Group stage,0.0,3,0,0.0
2022,Cameroon,Cameroon,7,23,Group stage,0.0,3,1,33.33333333333333
1986,Canada,Canada,0,0,Group stage,0.0,3,0,0.0
2022,Canada,Canada,1,3,Group stage,0.0,3,0,0.0
1930,Chile,Chile,0,0,Group stage,0.0,3,2,66.66666666666666
1950,Chile,Chile,1,3,Group stage,0.0,3,1,33.33333333333333
1962,Chile,Chile,2,6,Semi-finals,4.0,6,4,66.66666666666666
1966,Chile,Chile,3,12,Group stage,0.0,3,0,0.0
1974,Chile,Chile,4,15,First round,0.0,3,0,0.0
1982,Chile,Chile,5,18,First group stage,0.0,3,0,0.0
1998,Chile,Chile,6,21,Round of 16,1.33,4,0,0.0
2010,Chile,Chile,7,25,Round of 16,1.33,4,2,50.0
2014,Chile,Chile,8,29,Round of 16,1.33,4,2,50.0
2002,China PR,China,0,0,Group stage,0.0,3,0,0.0
1962,Colombia,Colombia,0,0,Group stage,0.0,3,0,0.0
1990,Colombia,Colombia,1,3,Round of 16,1.33,4,1,25.0
1994,Colombia,Colombia,2,7,Group stage,0.0,3,1,33.33333333333333
1998,Colombia,Colombia,3,10,Group stage,0.0,3,1,33.33333333333333
2014,Colombia,Colombia,4,13,Quarter-finals,2.67,5,4,80.0
2018,Colombia,Colombia,5,18,Round of 16,1.33,4,2,50.0
1990,Costa Rica,Costa Rica,0,0,Round of 16,1.33,4,2,50.0
2002,Costa Rica,Costa Rica,1,4,Group stage,0.0,3,1,33.33333333333333
2006,Costa Rica,Costa Rica,2,7,Group stage,0.0,3,0,0.0
2014,Costa Rica,Costa Rica,3,10,Quarter-finals,2.67,5,2,40.0
2018,Costa Rica,Costa Rica,4,15,Group stage,0.0,3,0,0.0
2022,Costa Rica,Costa Rica,5,18,Group stage,0.0,3,1,33.33333333333333
1998,Croatia,Croatia,0,0,Semi-finals,4.0,7,5,71.42857142857143
2002,Croatia,Croatia,1,7,Group stage,0.0,3,1,33.33333333333333
2006,Croatia,Croatia,2,10,Group stage,0.0,3,0,0.0
2014,Croatia,Croatia,3,13,Group stage,0.0,3,1,33.33333333333333
2018,Croatia,Croatia,4,16,Runner-up,5.0,7,4,57.14285714285714
2022,Croatia,Croatia,5,23,Semi-finals,4.0,7,2,28.57142857142857
1938,Cuba,Cuba,0,0,Quarter-finals,2.0,3,1,33.33333333333333
1934,Czechoslovakia,Czech Republic,0,0,Runner-up,5.0,4,3,75.0
1938,Czechoslovakia,Czech Republic,1,4,Quarter-finals,2.0,3,1,33.33333333333333
1954,Czechoslovakia,Czech Republic,2,7,Group stage,0.0,2,0,0.0
1958,Czechoslovakia,Czech Republic,3,9,Group stage play-off,1.33,4,1,25.0
1962,Czechoslovakia,Czech Republic,4,13,Runner-up,5.0,6,3,50.0
1970,Czechoslovakia,Czech Republic,5,19,Group stage,0.0,3,0,0.0
1982,Czechoslovakia,Czech Republic,6,22,First group stage,0.0,3,0,0.0
1990,Czechoslovakia,Czech Republic,7,25,Quarter-finals,2.67,5,3,60.0
2006,Czech Republic,Czech Republic,8,30,Group stage,0.0,3,1,33.33333333333333
2006,Côte d'Ivoire,Côte d'Ivoire,0,0,Group stage,0.0,3,1,33.33333333333333
2010,Côte d'Ivoire,Côte d'Ivoire,1,3,Group stage,0.0,3,1,33.33333333333333
2014,Côte d'Ivoire,Côte d'Ivoire,2,6,Group stage,0.0,3,1,33.33333333333333
1986,Denmark,Denmark,0,0,Round of 16,1.33,4,3,75.0
1998,Denmark,Denmark,1,4,Quarter-finals,2.67,5,2,40.0
2002,Denmark,Denmark,2,9,Round of 16,1.33,4,2,50.0
2010,Denmark,Denmark,3,13,Group stage,0.0,3,1,33.33333333333333
2018,Denmark,Denmark,4,16,Round of 16,1.33,4,1,25.0
2022,Denmark,Denmark,5,20,Group stage,0.0,3,0,0.0
2002,Ecuador,Ecuador,0,0,Group stage,0.0,3,1,33.33333333333333
2006,Ecuador,Ecuador,1,3,Round of 16,1.33,4,2,50.0
2014,Ecuador,Ecuador,2,7,Group stage,0.0,3,1,33.33333333333333
2022,Ecuador,Ecuador,3,10,Group stage,0.0,3,1,33.33333333333333
1934,Egypt,Egypt,0,0,Round of 16,0.0,1,0,0.0
1990,Egypt,Egypt,1,1,Group stage,0.0,3,0,0.0
2018,Egypt,Egypt,2,4,Group stage,0.0,3,0,0.0
1970,El Salvador,El Salvador,0,0,Group stage,0.0,3,0,0.0
1982,El Salvador,El Salvador,1,3,First group stage,0.0,3,0,0.0
1950,England,England,0,0,Group stage,0.0,3,1,33.33333333333333
1954,England,England,1,3,Quarter-finals,2.67,3,1,33.33333333333333
1958,England,England,2,6,Group stage play-off,1.33,4,0,0.0
1962,England,England,3,10,Quarter-finals,2.0,4,1,25.0
1966,England,England,4,14,Champion,6.0,6,5,83.33333333333334
1970,England,England,5,20,Quarter-finals,2.0,4,2,50.0
1982,England,England,6,24,Second group stage,2.0,5,3,60.0
1986,England,England,7,29,Quarter-finals,2.67,5,2,40.0
1990,England,England,8,34,Semi-finals,4.0,7,3,42.857142857142854
1998,England,England,9,41,Round of 16,1.33,4,2,50.0
2002,England,England,10,45,Quarter-finals,2.67,5,2,40.0
2006,England,England,11,50,Quarter-finals,2.67,5,3,60.0
2010,England,England,12,55,Round of 16,1.33,4,1,25.0
2014,England,England,13,59,Group stage,0.0,3,0,0.0
2018,England,England,14,62,Semi-finals,4.0,7,3,42.857142857142854
2022,England,England,15,69,Quarter-finals,2.67,5,3,60.0
1930,France,France,0,0,Group stage,0.0,3,1,33.33333333333333
