Team,Participations,Matches_Played,Avg_Matches_Per_Tournament,Wins,Draws,Losses,Win_Percentage,Goals_Scored,Goals_Conceded,Goal_Difference,Goals_Per_Match,Goal_Difference_Per_Match
Brazil,22,114,5.181818181818182,76,19,19,0.6666666666666666,237,108,129,2.0789473684210527,1.131578947368421
Argentina,18,88,4.888888888888889,47,17,24,0.5340909090909091,152,101,51,1.7272727272727273,0.5795454545454546
Italy,18,83,4.611111111111111,45,21,17,0.5421686746987951,128,77,51,1.5421686746987953,0.6144578313253012
Mexico,17,60,3.5294117647058822,17,15,28,0.2833333333333333,62,101,-39,1.0333333333333334,-0.65
England,16,74,4.625,32,22,20,0.43243243243243246,104,68,36,1.4054054054054055,0.4864864864864865
France,16,73,4.5625,39,14,20,0.5342465753424658,136,85,51,1.8630136986301369,0.6986301369863014
Spain,16,67,4.1875,31,17,19,0.4626865671641791,108,75,33,1.6119402985074627,0.4925373134328358
Belgium,14,51,3.642857142857143,21,10,20,0.4117647058823529,69,74,-5,1.3529411764705883,-0.09803921568627451
Uruguay,14,59,4.214285714285714,25,13,21,0.423728813559322,89,76,13,1.5084745762711864,0.22033898305084745
Switzerland,12,41,3.4166666666666665,14,8,19,0.34146341463414637,55,73,-18,1.3414634146341464,-0.43902439024390244
Sweden,12,51,4.25,19,13,19,0.37254901960784315,80,73,7,1.5686274509803921,0.13725490196078433
Germany,11,56,5.090909090909091,37,7,12,0.6607142857142857,126,67,59,2.25,1.0535714285714286
Netherlands,11,55,5.0,30,14,11,0.5454545454545454,96,52,44,1.7454545454545454,0.8
Korea Republic,11,38,3.4545454545454546,7,10,21,0.18421052631578946,39,78,-39,1.0263157894736843,-1.0263157894736843
United States,11,37,3.3636363636363638,9,8,20,0.24324324324324326,40,66,-26,1.0810810810810811,-0.7027027027027027
Hungary,9,32,3.5555555555555554,15,3,14,0.46875,87,57,30,2.71875,0.9375
West Germany,9,56,6.222222222222222,31,14,11,0.5535714285714286,106,63,43,1.8928571428571428,0.7678571428571429
Poland,9,38,4.222222222222222,17,6,15,0.4473684210526316,49,50,-1,1.2894736842105263,-0.02631578947368421
Chile,9,33,3.6666666666666665,11,7,15,0.3333333333333333,40,49,-9,1.2121212121212122,-0.2727272727272727
Paraguay,8,27,3.375,7,10,10,0.25925925925925924,30,38,-8,1.1111111111111112,-0.2962962962962963
